nombre,Posicion,club_actual,partidos_jugados,titularidades,minutos_jugados,goles,asistencias,amarillas,rojas,carreras_progresivas,pases_progresivos,Pases_progresivos_recibidos,temporada,liga
pape gueye,MF,Villarreal,34,26,2224,4,0,6,2,36,156,69,2024-2025,laliga
hugo guillamón,MF,Valencia,12,4,364,0,0,2,0,0,15,5,2024-2025,laliga
carlos guirao,MF,Betis,2,2,110,0,0,0,0,1,2,2,2024-2025,laliga
arda güler,"MF,FW",Real Madrid,28,14,1250,3,4,1,0,34,93,86,2024-2025,laliga
gerard gumbau,MF,Rayo Vallecano,22,7,849,0,1,4,0,2,41,21,2024-2025,laliga
jon guridi,"MF,FW",Alavés,33,27,2080,3,1,6,0,27,79,90,2024-2025,laliga
gorka guruzeta,FW,Athletic Club,36,21,1840,7,2,2,0,8,31,64,2024-2025,laliga
player,Pos,Squad,MP,Starts,Min,Gls,Ast,CrdY,CrdR,PrgC,PrgP,PrgR,2024-2025,laliga
miguel gutiérrez,"DF,MF",Girona,29,29,2458,1,5,4,0,63,103,199,2024-2025,laliga
munir el haddadi,"FW,MF",Leganés,25,10,862,4,0,1,1,11,29,42,2024-2025,laliga
sébastien haller,FW,Leganés,8,5,404,0,0,0,0,3,4,14,2024-2025,laliga
henrique,DF,Valladolid,5,4,352,0,0,0,0,2,12,4,2024-2025,laliga
javi hernández,DF,Leganés,31,27,2389,2,1,6,0,40,80,90,2024-2025,laliga
aridane hernández,DF,Rayo Vallecano,14,11,1025,0,0,1,0,2,38,0,2024-2025,laliga
jorge herrando,DF,Osasuna,18,15,1366,1,0,3,0,7,38,1,2024-2025,laliga
ander herrera,MF,Athletic Club,8,2,273,0,0,2,0,2,16,5,2024-2025,laliga
sergio herrera,GK,Osasuna,37,37,3330,0,0,5,0,0,2,0,2024-2025,laliga
yangel herrera,MF,Girona,29,27,2257,4,3,10,1,31,110,99,2024-2025,laliga
juan herzog,DF,Las Palmas,19,15,1315,0,0,1,0,0,27,1,2024-2025,laliga
omar el hilali,DF,Espanyol,36,36,3153,0,2,11,0,35,84,61,2024-2025,laliga
roger hinojo,DF,Espanyol,1,0,9,0,0,0,0,1,0,2,2024-2025,laliga
dinko horkaš,GK,Las Palmas,13,11,1085,0,0,1,0,0,2,0,2024-2025,laliga
pablo ibáñez,MF,Osasuna,28,13,1294,1,1,4,0,21,51,31,2024-2025,laliga
stanis idumbo,"FW,MF",Sevilla,14,3,284,1,1,0,0,10,8,20,2024-2025,laliga
iglesias,DF,Getafe,37,32,2888,0,1,4,0,32,84,67,2024-2025,laliga
borja iglesias,FW,Celta Vigo,37,24,1952,11,3,2,0,22,28,108,2024-2025,laliga
