nombre,club_actual,altura,valor,temporada,liga
viljami sinisalo,Celtic FC,1.9,500000.0,League,Premier
oliwier zych,Raków Częstochowa,1.93,50000.0,League,Premier
filip marschall,Aston Villa,1.95,,League,Premier
james wright,Aston Villa U21,1.88,,League,Premier
ezri konsa,Aston Villa,1.83,25000000.0,League,Premier
tyrone mings,Aston Villa,1.96,22000000.0,League,Premier
diego carlos,Fenerbahce,1.85,20000000.0,League,Premier
jan bednarek,Southampton FC,1.89,14000000.0,League,Premier
calum chambers,Cardiff City,1.82,8000000.0,League,Premier
kortney hause,Without Club,1.91,2200000.0,League,Premier
josh feeney,Huddersfield Town,1.96,300000.0,League,Premier
sil swinkels,Exeter City,,150000.0,League,Premier
álex moreno,Aston Villa,1.79,15000000.0,League,Premier
lucas digne,Aston Villa,1.78,15000000.0,League,Premier
ludwig augustinsson,RSC Anderlecht,1.81,2500000.0,League,Premier
sebastian revan,Wrexham AFC,1.81,,League,Premier
travis patterson,Aston Villa U21,,,League,Premier
matty cash,Aston Villa,1.85,25000000.0,League,Premier
ashley young,Without Club,1.75,600000.0,League,Premier
boubacar kamara,Aston Villa,1.84,30000000.0,League,Premier
leander dendoncker,Aston Villa,1.88,15000000.0,League,Premier
marvelous nakamba,Luton Town,1.77,4000000.0,League,Premier
lamare bogarde,Aston Villa,1.85,450000.0,League,Premier
douglas luiz,Juventus FC,1.77,40000000.0,League,Premier
john mcginn,Aston Villa,1.78,27000000.0,League,Premier
morgan sanson,OGC Nice,1.8,6000000.0,League,Premier
tim iroegbunam,Everton FC,1.83,5000000.0,League,Premier
jacob ramsey,Aston Villa,1.8,42000000.0,League,Premier
emiliano buendía,Aston Villa,1.72,28000000.0,League,Premier
philippe coutinho,Clube de Regatas Vasco da Gama,1.72,10000000.0,League,Premier
tommi o'reilly,Crewe Alexandra,1.7,,League,Premier
jaden philogene,Ipswich Town,1.81,2800000.0,League,Premier
kadan young,Aston Villa U21,1.76,,League,Premier
leon bailey,Aston Villa,1.78,28000000.0,League,Premier
bertrand traoré,Ajax Amsterdam,1.81,12000000.0,League,Premier
ollie watkins,Aston Villa,1.8,40000000.0,League,Premier
danny ings,Without Club,1.77,12000000.0,League,Premier
cameron archer,Southampton FC,1.75,12000000.0,League,Premier
jhon durán,Fenerbahce,1.85,12000000.0,League,Premier
keinan davis,Udinese Calcio,1.89,3000000.0,League,Premier
josé sá,Wolverhampton Wanderers,1.92,18000000.0,League,Premier
matija sarkic,---,,2000000.0,League,Premier
daniel bentley,Wolverhampton Wanderers,1.93,2000000.0,League,Premier
louie moulden,Norwich City,1.9,200000.0,League,Premier
jackson smith,Barnsley FC,1.87,150000.0,League,Premier
maximilian kilman,West Ham United,1.94,30000000.0,League,Premier
nathan collins,Brentford FC,1.93,22000000.0,League,Premier
conor coady,Leicester City,1.85,12000000.0,League,Premier
toti,Wolverhampton Wanderers,1.87,6000000.0,League,Premier
yerson mosquera,Wolverhampton Wanderers,1.88,3000000.0,League,Premier
willy boly,Nottingham Forest,1.95,2500000.0,League,Premier
craig dawson,Without Club,1.88,2000000.0,League,Premier
rayan aït-nouri,Manchester City,1.8,22000000.0,League,Premier
hugo bueno,Wolverhampton Wanderers,1.8,6000000.0,League,Premier
nélson semedo,Without Club,1.77,15000000.0,League,Premier
jonny otto,Deportivo Alavés,1.75,13000000.0,League,Premier
ki-jana hoever,Wolverhampton Wanderers,1.83,3500000.0,League,Premier
dexter lembikisa,Wolverhampton Wanderers U21,1.8,,League,Premier
rúben neves,Al-Hilal SFC,1.8,40000000.0,League,Premier
leander dendoncker,Aston Villa,1.88,15000000.0,League,Premier
mario lemina,Galatasaray,1.84,10000000.0,League,Premier
boubacar traoré,Wolverhampton Wanderers,1.83,5000000.0,League,Premier
joe hodge,CD Tondela,1.72,2000000.0,League,Premier
harvey griffiths,Wolverhampton Wanderers U21,1.9,,League,Premier
matheus nunes,Manchester City,1.83,45000000.0,League,Premier
joão gomes,Wolverhampton Wanderers,1.76,18000000.0,League,Premier
joão moutinho,SC Braga,1.7,1500000.0,League,Premier
connor ronan,Colorado Rapids,1.71,800000.0,League,Premier
morgan gibbs-white,Nottingham Forest,1.71,40000000.0,League,Premier
daniel podence,Al-Shabab FC,1.7,20000000.0,League,Premier
luke cundle,Millwall FC,1.71,3000000.0,League,Premier
chem campbell,Stevenage FC,1.8,1000000.0,League,Premier
gonçalo guedes,Wolverhampton Wanderers,1.79,23000000.0,League,Premier
chiquinho,FC Alverca,1.79,2000000.0,League,Premier
pedro neto,Chelsea FC,1.74,28000000.0,League,Premier
pablo sarabia,Al-Arabi SC,1.74,14000000.0,League,Premier
adama traoré,Fulham FC,1.78,10000000.0,League,Premier
matheus cunha,Manchester United,1.83,25000000.0,League,Premier
sasa kalajdzic,Wolverhampton Wanderers,2.0,15000000.0,League,Premier
hee-chan hwang,Wolverhampton Wanderers,1.77,12000000.0,League,Premier
raúl jiménez,Fulham FC,1.87,6000000.0,League,Premier
diego costa,Without Club,1.86,2000000.0,League,Premier
nathan fraser,Wolverhampton Wanderers,1.88,,League,Premier
danny ward,Wrexham AFC,1.91,6000000.0,League,Premier
daniel iversen,Preston North End,1.93,5000000.0,League,Premier
alex smithies,nan,1.89,500000.0,League,Premier
wesley fofana,Chelsea FC,1.85,55000000.0,League,Premier
wout faes,Leicester City,1.87,20000000.0,League,Premier
çağlar söyüncü,Fenerbahce,1.85,15000000.0,League,Premier
harry souttar,Leicester City,1.98,15000000.0,League,Premier
daniel amartey,Without Club,1.86,12000000.0,League,Premier
jannik vestergaard,Leicester City,1.99,4000000.0,League,Premier
jonny evans,nan,1.88,2000000.0,League,Premier
lewis brunt,Wrexham AFC,1.87,100000.0,League,Premier
victor kristiansen,Leicester City,1.81,12000000.0,League,Premier
luke thomas,Leicester City,1.81,12000000.0,League,Premier
ryan bertrand,nan,1.79,800000.0,League,Premier
timothy castagne,Fulham FC,1.85,25000000.0,League,Premier
james justin,Leicester City,1.83,20000000.0,League,Premier
ricardo pereira,Leicester City,1.75,10000000.0,League,Premier
joe wormleighton,Northampton Town,1.78,,League,Premier
wilfred ndidi,Leicester City,1.83,25000000.0,League,Premier
boubakary soumaré,Leicester City,1.88,20000000.0,League,Premier
hamza choudhury,Leicester City,1.78,5000000.0,League,Premier
nampalys mendy,Without Club,1.68,2500000.0,League,Premier
sammy braybrooke,Leicester City U21,,250000.0,League,Premier
youri tielemans,Aston Villa,1.77,25000000.0,League,Premier
kiernan dewsbury-hall,Chelsea FC,1.76,25000000.0,League,Premier
dennis praet,Royal Antwerp FC,1.81,7000000.0,League,Premier
marc albrighton,nan,1.75,1000000.0,League,Premier
james maddison,Tottenham Hotspur,1.75,60000000.0,League,Premier
will alves,Leicester City U21,,,League,Premier
harvey barnes,Newcastle United,1.82,35000000.0,League,Premier
tetê,Panathinaikos FC,1.75,25000000.0,League,Premier
kasey mcateer,Leicester City,1.77,250000.0,League,Premier
wanya marçal,Leicester City,1.81,,League,Premier
kelechi iheanacho,Sevilla FC,1.85,18000000.0,League,Premier
patson daka,Leicester City,1.83,18000000.0,League,Premier
ayoze pérez,Villarreal CF,1.78,6000000.0,League,Premier
jamie vardy,Without Club,1.79,2500000.0,League,Premier
george hirst,Ipswich Town,1.91,800000.0,League,Premier
alphonse areola,West Ham United,1.95,8000000.0,League,Premier
lukasz fabianski,Without Club,1.9,900000.0,League,Premier
darren randolph,nan,1.87,400000.0,League,Premier
nathan trott,FC Copenhagen,1.88,400000.0,League,Premier
krisztián hegyi,West Ham United,1.96,250000.0,League,Premier
joseph anang,St. Patrick's Athletic,1.9,100000.0,League,Premier
nayef aguerd,West Ham United,1.9,35000000.0,League,Premier
kurt zouma,Without Club,1.9,22000000.0,League,Premier
thilo kehrer,AS Monaco,1.86,18000000.0,League,Premier
craig dawson,Without Club,1.88,2000000.0,League,Premier
angelo ogbonna,Without Club,1.91,900000.0,League,Premier
jamal baptiste,Sheffield United U21,1.9,250000.0,League,Premier
levi laing,Cavalry FC,1.88,,League,Premier
