nombre,club_actual,altura,valor,temporada,liga
donyell malen,Aston Villa,1.76,25000000.0,2024-2025,Premier-League
ollie watkins,Aston Villa,1.8,40000000.0,2024-2025,Premier-League
jhon durán,Fenerbahce,1.85,35000000.0,2024-2025,Premier-League
kobei moore,Without Club,1.83,,2024-2025,Premier-League
nick pope,Newcastle United,1.98,8000000.0,2024-2025,Premier-League
odysseas vlachodimos,Newcastle United,1.91,5000000.0,2024-2025,Premier-League
martin dúbravka,Newcastle United,1.91,1000000.0,2024-2025,Premier-League
mark gillespie,Newcastle United,1.91,200000.0,2024-2025,Premier-League
john ruddy,Without Club,1.92,150000.0,2024-2025,Premier-League
sven botman,Newcastle United,1.93,42000000.0,2024-2025,Premier-League
lloyd kelly,Juventus FC,1.89,16000000.0,2024-2025,Premier-League
fabian schär,Newcastle United,1.86,7000000.0,2024-2025,Premier-League
dan burn,Newcastle United,2.01,6000000.0,2024-2025,Premier-League
jamaal lascelles,Newcastle United,1.88,4000000.0,2024-2025,Premier-League
lewis hall,Newcastle United,1.79,32000000.0,2024-2025,Premier-League
matt targett,Newcastle United,1.83,5000000.0,2024-2025,Premier-League
jamal lewis,Without Club,1.78,2500000.0,2024-2025,Premier-League
alex murphy,Newcastle United,1.88,300000.0,2024-2025,Premier-League
tino livramento,Newcastle United,1.82,40000000.0,2024-2025,Premier-League
kieran trippier,Newcastle United,1.73,4000000.0,2024-2025,Premier-League
emil krafth,Newcastle United,1.84,2000000.0,2024-2025,Premier-League
harrison ashby,Newcastle United,1.79,1400000.0,2024-2025,Premier-League
leo shahar,Newcastle United U21,,,2024-2025,Premier-League
bruno guimarães,Newcastle United,1.82,80000000.0,2024-2025,Premier-League
isaac hayden,Newcastle United,1.87,700000.0,2024-2025,Premier-League
sandro tonali,Newcastle United,1.81,60000000.0,2024-2025,Premier-League
joelinton,Newcastle United,1.86,35000000.0,2024-2025,Premier-League
joe willock,Newcastle United,1.86,22000000.0,2024-2025,Premier-League
lewis miley,Newcastle United,1.89,22000000.0,2024-2025,Premier-League
sean longstaff,Leeds United,1.87,20000000.0,2024-2025,Premier-League
joe white,Newcastle United,1.86,275000.0,2024-2025,Premier-League
anthony gordon,Newcastle United,1.83,65000000.0,2024-2025,Premier-League
harvey barnes,Newcastle United,1.82,35000000.0,2024-2025,Premier-League
trevan sanusi,Newcastle United U21,,,2024-2025,Premier-League
jacob murphy,Newcastle United,1.79,16000000.0,2024-2025,Premier-League
miguel almirón,Atlanta United FC,1.74,10000000.0,2024-2025,Premier-League
alexander isak,Newcastle United,1.92,120000000.0,2024-2025,Premier-League
callum wilson,Without Club,1.8,8000000.0,2024-2025,Premier-League
william osula,Newcastle United,1.91,7000000.0,2024-2025,Premier-League
sean neave,Newcastle United U21,1.84,,2024-2025,Premier-League
bart verbruggen,Brighton & Hove Albion,1.94,30000000.0,2024-2025,Premier-League
carl rushworth,Brighton & Hove Albion,1.91,3000000.0,2024-2025,Premier-League
jason steele,Brighton & Hove Albion,1.88,1500000.0,2024-2025,Premier-League
tom mcgill,Brighton & Hove Albion,1.85,600000.0,2024-2025,Premier-League
killian cahill,Leyton Orient,,150000.0,2024-2025,Premier-League
jan paul van hecke,Brighton & Hove Albion,1.89,32000000.0,2024-2025,Premier-League
igor,Brighton & Hove Albion,1.88,20000000.0,2024-2025,Premier-League
adam webster,Brighton & Hove Albion,1.9,11000000.0,2024-2025,Premier-League
eiran cashin,Brighton & Hove Albion,1.84,8000000.0,2024-2025,Premier-League
lewis dunk,Brighton & Hove Albion,1.92,6000000.0,2024-2025,Premier-League
ruairi mcconville,Norwich City,1.93,1800000.0,2024-2025,Premier-League
ed turns,Exeter City,1.86,350000.0,2024-2025,Premier-League
freddie simmonds,Brighton & Hove Albion U21,,,2024-2025,Premier-League
pervis estupiñán,Brighton & Hove Albion,1.75,30000000.0,2024-2025,Premier-League
ferdi kadıoğlu,Brighton & Hove Albion,1.74,25000000.0,2024-2025,Premier-League
jacob slater,Brighton & Hove Albion U21,,200000.0,2024-2025,Premier-League
imari samuels,Dundee FC,1.87,100000.0,2024-2025,Premier-League
tariq lamptey,Brighton & Hove Albion,1.63,11000000.0,2024-2025,Premier-League
joël veltman,Brighton & Hove Albion,1.84,4000000.0,2024-2025,Premier-League
odeluga offiah,Preston North End,1.87,600000.0,2024-2025,Premier-League
charlie tasker,Brighton & Hove Albion U21,,200000.0,2024-2025,Premier-League
carlos baleba,Brighton & Hove Albion,1.79,40000000.0,2024-2025,Premier-League
mats wieffer,Brighton & Hove Albion,1.88,25000000.0,2024-2025,Premier-League
billy gilmour,SSC Napoli,1.7,20000000.0,2024-2025,Premier-League
jack hinshelwood,Brighton & Hove Albion,1.82,24000000.0,2024-2025,Premier-League
yasin ayari,Brighton & Hove Albion,1.72,22000000.0,2024-2025,Premier-League
matt o'riley,Brighton & Hove Albion,1.89,22000000.0,2024-2025,Premier-League
malick yalcouyé,Brighton & Hove Albion,1.69,17000000.0,2024-2025,Premier-League
diego gómez,Brighton & Hove Albion,1.85,14000000.0,2024-2025,Premier-League
jakub moder,Feyenoord Rotterdam,1.91,12000000.0,2024-2025,Premier-League
valentín barco,RC Strasbourg Alsace,1.7,12000000.0,2024-2025,Premier-League
james milner,Brighton & Hove Albion,1.75,1000000.0,2024-2025,Premier-League
jensen weir,Wigan Athletic,1.84,350000.0,2024-2025,Premier-League
joe knight,Brighton & Hove Albion U21,,,2024-2025,Premier-League
julio enciso,Brighton & Hove Albion,1.73,22000000.0,2024-2025,Premier-League
