nombre,entradas_1/3,entradas_2/3,entradas_3/3,duelos_ganados,entradas,entradas_ganadas,bloqueos,bloqueos_tiro,bloqueos_pase,temporada,liga
giulio maggiore,26,22,1,47.6,49,29,27,5,22,2023-2024,serie-a
giangiacomo magnani,23,10,0,60.0,33,18,50,28,22,2023-2024,serie-a
mike maignan,1,0,0,100.0,1,0,1,0,1,2023-2024,serie-a
antoine makoumbou,21,15,5,50.0,41,24,23,4,19,2023-2024,serie-a
daniel maldini,0,2,1,50.0,3,2,2,0,2,2023-2024,serie-a
daniel maldini,0,2,2,100.0,4,2,5,0,5,2023-2024,serie-a
youssef maleh,30,36,8,44.2,74,48,62,7,55,2023-2024,serie-a
ruslan malinovskyi,18,11,6,41.5,35,20,22,8,14,2023-2024,serie-a
gianluca mancini,21,11,2,40.7,34,20,38,26,12,2023-2024,serie-a
marco mancosu,0,2,1,50.0,3,0,0,0,0,2023-2024,serie-a
christos mandas,0,0,0,0.0,0,0,0,0,0,2023-2024,serie-a
rolando mandragora,8,13,5,45.5,26,11,14,3,11,2023-2024,serie-a
kostas manolas,6,3,0,75.0,9,5,10,7,3,2023-2024,serie-a
riccardo marchizza,4,3,0,23.1,7,6,10,2,8,2023-2024,serie-a
gian marco ferrari,11,11,0,66.7,22,10,28,17,11,2023-2024,serie-a
pablo marí,34,7,0,64.7,41,25,40,25,15,2023-2024,serie-a
