index,Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Unnamed: 4_level_0,Unnamed: 5_level_0,Unnamed: 6_level_0,Playing Time,Playing Time,Playing Time,Playing Time,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Expected,Expected,Expected,Expected,Progression,Progression,Progression,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Unnamed: 36_level_0
,Rk,Player,Nation,Pos,Squad,Age,Born,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,xG,npxG,xAG,npxG+xAG,PrgC,PrgP,PrgR,Gls,Ast,G+A,G-PK,G+A-PK,xG,xAG,xG+xAG,npxG,npxG+xAG,Matches
29,29,Jaime Báez,uy URU,"FW,MF",Frosinone,28,1995,11,6,500,5.6,1,0,1,1,0,0,1,0,0.5,0.5,0.5,1.0,12,29,39,0.18,0.00,0.18,0.18,0.18,0.08,0.10,0.18,0.08,0.18,Matches
30,30,Nicola Bagnolini,it ITA,GK,Bologna,19,2004,1,0,5,0.1,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches
31,31,Nedim Bajrami,al ALB,"MF,FW",Sassuolo,24,1999,28,15,1310,14.6,2,2,4,2,0,0,0,0,2.5,2.5,2.2,4.7,51,49,70,0.14,0.14,0.27,0.14,0.27,0.17,0.15,0.33,0.17,0.33,Matches
32,32,Mitchel Bakker,nl NED,DF,Atalanta,23,2000,14,3,382,4.2,1,0,1,1,0,0,1,0,0.2,0.2,0.1,0.3,12,10,20,0.24,0.00,0.24,0.24,0.24,0.05,0.03,0.08,0.05,0.08,Matches
33,33,Tommaso Baldanzi,it ITA,"MF,FW",Empoli,20,2003,14,8,745,8.3,2,0,2,2,0,0,1,0,2.1,2.1,1.0,3.1,20,30,40,0.24,0.00,0.24,0.24,0.24,0.25,0.13,0.38,0.25,0.38,Matches
34,34,Tommaso Baldanzi,it ITA,"FW,MF",Roma,20,2003,13,6,518,5.8,0,0,0,0,0,0,2,0,0.9,0.9,0.7,1.5,18,14,54,0.00,0.00,0.00,0.00,0.00,0.15,0.12,0.27,0.15,0.27,Matches
35,35,Lameck Banda,zm ZAM,FW,Lecce,22,2001,21,17,1350,15.0,2,4,6,2,0,0,5,1,3.6,3.6,1.9,5.5,71,22,136,0.13,0.27,0.40,0.13,0.40,0.24,0.13,0.37,0.24,0.37,Matches
36,36,Daniel Bandeira,pt POR,MF,Hellas Verona,23,2000,14,3,446,5.0,0,0,0,0,0,0,2,0,0.1,0.1,0.2,0.3,9,34,8,0.00,0.00,0.00,0.00,0.00,0.01,0.04,0.06,0.01,0.06,Matches
37,37,Mattia Bani,it ITA,DF,Genoa,29,1993,27,27,2306,25.6,2,0,2,2,0,0,9,0,1.2,1.2,0.1,1.3,5,37,4,0.08,0.00,0.08,0.08,0.08,0.05,0.00,0.05,0.05,0.05,Matches
38,38,Antonín Barák,cz CZE,"MF,FW",Fiorentina,28,1994,21,8,808,9.0,2,3,5,2,0,0,2,0,1.5,1.5,2.2,3.8,17,33,64,0.22,0.33,0.56,0.22,0.56,0.17,0.25,0.42,0.17,0.42,Matches
39,39,Nicolò Barella,it ITA,MF,Inter,26,1997,37,34,2846,31.6,2,3,5,2,0,0,7,0,5.1,5.1,3.4,8.5,68,278,144,0.06,0.09,0.16,0.06,0.16,0.16,0.11,0.27,0.16,0.27,Matches
